state,year,deaths,cruderate,ageadjustedrate,sttax,hispanic,nhblack,nhwhite,nhother,lhs,hs,somecol,colplus
Alabama,2005,12,1.3,1.2,42.5,0.0482143,0.2982143,0.6214285,0.0321429,0.1928571,0.3571429,0.2339286,0.2160714
Alabama,2016,30,3.1,3.2,67.5,0.050193,0.2664093,0.6467181,0.0366795,0.1061776,0.3185328,0.2779923,0.2972973
Arizona,2008,11,0.9,0.8,200,0.3997773,0.0211581,0.4599109,0.1191537,0.1681515,0.3452116,0.2494432,0.2371938
Arizona,2010,14,1.1,1.2,200,0.3773825,0.0381194,0.4701398,0.1143583,0.1601017,0.321474,0.2986023,0.2198221
Arizona,2011,12,0.9,0.9,200,0.3478261,0.0205314,0.442029,0.1896135,0.1642512,0.3369565,0.2741546,0.2246377
Arizona,2012,21,1.6,1.7,200,0.3563084,0.0338785,0.4345794,0.1752336,0.1507009,0.3247664,0.2745327,0.25
Arizona,2013,19,1.5,1.5,200,0.3498759,0.0397022,0.4392059,0.1712159,0.1401985,0.3325062,0.2754343,0.251861
Arizona,2014,20,1.5,1.6,200,0.3221024,0.0390836,0.4757412,0.1630728,0.1172507,0.3423181,0.2749326,0.2654986
Arizona,2015,14,1.1,1.2,200,0.3567839,0.0276382,0.4723618,0.1432161,0.1306533,0.3015075,0.2776382,0.290201
Arizona,2016,25,1.9,1.9,200,0.3561828,0.0430108,0.4422043,0.1586021,0.155914,0.3172043,0.2271505,0.2997312
Arkansas,2008,23,4,4.1,59,0.0882353,0.1470588,0.7176471,0.0470588,0.1352941,0.4235294,0.2558824,0.1852941
Arkansas,2009,19,3.3,3.2,59,0.0894737,0.1394737,0.7157895,0.0552632,0.1710526,0.3526316,0.2842105,0.1921053
Arkansas,2010,13,2.3,2.3,115,0.0565476,0.1845238,0.7321429,0.0267857,0.1369048,0.4017857,0.2410714,0.2202381
Arkansas,2011,10,1.7,1.7,115,0.0774411,0.1548821,0.7104377,0.0572391,0.1313131,0.4141414,0.2424242,0.2121212
Arkansas,2012,15,2.6,2.6,115,0.0576369,0.1642651,0.7377521,0.0403458,0.1066282,0.3861671,0.2680115,0.2391931
Arkansas,2013,12,2.1,2.1,115,0.0981595,0.1687117,0.702454,0.0306748,0.1196319,0.4294479,0.2331288,0.2177914
Arkansas,2014,19,3.3,3.3,115,0.0987654,0.1851852,0.691358,0.0246914,0.1080247,0.4320988,0.2376543,0.2222222
Arkansas,2015,15,2.6,2.5,115,0.0969697,0.1333333,0.7272727,0.0424242,0.1,0.3727273,0.2909091,0.2363636
Arkansas,2016,12,2.1,2.2,115,0.06875,0.171875,0.71875,0.040625,0.0875,0.38125,0.265625,0.265625
California,2003,83,1.1,1.1,87,0.4243225,0.0469266,0.3734303,0.1553206,0.1777925,0.3258427,0.2227363,0.2736286
California,2004,109,1.4,1.4,87,0.3885976,0.0432503,0.397772,0.1703801,0.1795544,0.2830931,0.2247706,0.3125819
California,2005,108,1.4,1.4,87,0.4269056,0.0431872,0.358238,0.1716692,0.1781473,0.3239041,0.2047074,0.2932412
California,2006,114,1.5,1.4,87,0.4374461,0.0455134,0.3559103,0.1611303,0.1762295,0.3250647,0.2047023,0.2940035
California,2007,87,1.1,1.1,87,0.4601714,0.0428601,0.3249007,0.1720677,0.1764583,0.3276187,0.1998746,0.2960485
California,2008,96,1.2,1.2,87,0.4513131,0.0482828,0.3222222,0.1781818,0.1822222,0.2927273,0.2248485,0.300202
California,2009,100,1.3,1.3,87,0.4634603,0.0516344,0.3070997,0.1778055,0.1836352,0.3004372,0.2177806,0.298147
California,2010,76,1,1,87,0.4767241,0.0387931,0.3068965,0.1775862,0.1760776,0.3137931,0.2157328,0.2943965
California,2011,67,0.8,0.8,87,0.468012,0.0437956,0.3065693,0.181623,0.181623,0.2917561,0.2230571,0.3035638
California,2012,74,0.9,0.9,87,0.4622517,0.0498896,0.2997792,0.1880795,0.1604857,0.3004415,0.2322296,0.3068433
California,2013,68,0.8,0.9,87,0.4429975,0.0445511,0.3038611,0.2085904,0.1377656,0.2972355,0.2298378,0.3351611
California,2014,77,1,1,87,0.4460148,0.041937,0.3111677,0.2008804,0.131835,0.2745598,0.2479147,0.3456905
California,2015,69,0.9,0.9,87,0.4323873,0.0405438,0.3241116,0.2029573,0.1185309,0.2835678,0.2375388,0.3603625
California,2016,83,1,1,87,0.440038,0.0382332,0.3279506,0.1937782,0.106863,0.3042033,0.2213251,0.3676086
Colorado,2013,11,1,1,84,0.2446982,0.0293638,0.6655791,0.0603589,0.1044046,0.2300163,0.2349103,0.4306688
Colorado,2014,16,1.5,1.4,84,0.2433281,0.032967,0.6530612,0.0706436,0.0832025,0.2810047,0.2276295,0.4081633
Colorado,2015,10,0.9,0.9,84,0.2093023,0.0322004,0.6833631,0.0751342,0.0661896,0.2629696,0.2218247,0.4490161
Colorado,2016,13,1.2,1.2,84,0.2012882,0.037037,0.6908212,0.0708535,0.057971,0.2415459,0.2302738,0.4702093
Connecticut,2011,11,1.6,1.7,300,0.2222222,0.1166667,0.5555556,0.1055556,0.1027778,0.25,0.1888889,0.4583333
Florida,2003,25,0.7,0.7,33.9,0.2066869,0.1808511,0.5714286,0.0410334,0.1322188,0.3404255,0.2598784,0.2674772
Florida,2004,34,1,1,33.9,0.233711,0.1501416,0.5665722,0.0495751,0.1288952,0.335694,0.2620397,0.2733711
Florida,2005,58,1.6,1.6,33.9,0.2527791,0.1701305,0.5268245,0.0502658,0.1324311,0.3421943,0.221363,0.3040116
Florida,2006,44,1.2,1.2,33.9,0.2442308,0.1711538,0.5264423,0.0581731,0.1264423,0.3591346,0.2317308,0.2826923
Florida,2007,52,1.5,1.5,33.9,0.2578086,0.1769955,0.5200793,0.0451165,0.124938,0.3673773,0.2250868,0.2825979
Florida,2008,35,1,1,33.9,0.2604805,0.164861,0.5134244,0.0612341,0.1248234,0.3400848,0.254357,0.2807348
Florida,2009,70,2,2,33.9,0.2685931,0.1828517,0.4874467,0.0611085,0.122217,0.3325438,0.2539081,0.2913311
Florida,2010,44,1.2,1.2,133.9,0.2622707,0.201289,0.4724839,0.0639564,0.1254338,0.3614279,0.2414477,0.2716906
Florida,2011,48,1.3,1.3,133.9,0.2467932,0.1985634,0.4920472,0.0625962,0.1216008,0.3412006,0.2437147,0.2934838
Florida,2012,62,1.7,1.7,133.9,0.2656168,0.2057743,0.4666667,0.0619423,0.1144357,0.3427821,0.2545932,0.288189
Florida,2013,82,2.2,2.2,133.9,0.2562704,0.1799346,0.4989095,0.0648855,0.1090513,0.3113413,0.2677208,0.3118866
Florida,2014,57,1.5,1.5,133.9,0.2828019,0.1730267,0.4803973,0.0637742,0.106116,0.3193936,0.2613696,0.3131208
Florida,2015,63,1.7,1.6,133.9,0.2749856,0.1594454,0.5025997,0.0629694,0.1074523,0.3119584,0.2530329,0.3275563
Florida,2016,44,1.2,1.1,133.9,0.2705184,0.1646868,0.49946,0.0653348,0.0804536,0.3174946,0.2634989,0.3385529
Georgia,2003,39,2,2,12,0.1049869,0.2598425,0.5931758,0.0419948,0.1653543,0.351706,0.2073491,0.2755905
Georgia,2004,17,0.9,0.8,37,0.080292,0.2457421,0.6253042,0.0486618,0.1435523,0.2944039,0.1922141,0.3698297
Georgia,2005,31,1.6,1.5,37,0.1022013,0.2955975,0.5542453,0.047956,0.1525157,0.3294025,0.2177673,0.3003145
Georgia,2006,27,1.3,1.3,37,0.1166052,0.298155,0.5409594,0.0442804,0.1586716,0.3328413,0.201476,0.3070111
Georgia,2007,20,1,1,37,0.1144238,0.2852538,0.548751,0.0515713,0.1716358,0.3126511,0.1901692,0.3255439
Georgia,2008,22,1.1,1.1,37,0.1179985,0.2845407,0.5429425,0.0545183,0.1486184,0.3278566,0.2180732,0.3054518
Georgia,2009,33,1.6,1.5,37,0.1176471,0.2986425,0.5301659,0.0535445,0.1372549,0.3129714,0.2352941,0.3144796
Georgia,2010,34,1.6,1.7,37,0.1157337,0.2965204,0.5310136,0.0567322,0.1384266,0.3101362,0.2458396,0.3055976
Georgia,2011,44,2.1,2.1,37,0.1040413,0.3035254,0.5399828,0.0524506,0.1392949,0.3422184,0.2493551,0.2691316
Georgia,2012,32,1.5,1.5,37,0.0992844,0.3121646,0.5125223,0.0760286,0.1350626,0.3193202,0.2423971,0.30322
Georgia,2013,56,2.7,2.7,37,0.0959726,0.2896315,0.5364181,0.0779777,0.117395,0.302485,0.2459297,0.3341902
Georgia,2014,63,3,3,37,0.1089362,0.2885107,0.5455319,0.0570213,0.1276596,0.3251064,0.226383,0.3208511
Georgia,2015,69,3.3,3.3,37,0.1106419,0.2930743,0.5304054,0.0658784,0.1114865,0.3091216,0.2694257,0.3099662
Georgia,2016,58,2.7,2.8,37,0.1015625,0.2907986,0.5295139,0.078125,0.109375,0.3203125,0.2369792,0.3333333
Hawaii,2006,11,4.2,4.2,140,0.1202532,0.0189873,0.1962025,0.664557,0.0443038,0.4303797,0.2341772,0.2911392
Illinois,2003,12,0.4,0.4,98,0.1623037,0.1151832,0.6474695,0.0750436,0.1029668,0.3490402,0.2041885,0.3438045
Illinois,2004,17,0.6,0.6,98,0.1637324,0.096831,0.6637324,0.0757042,0.1179577,0.2816902,0.2200704,0.3802817
Illinois,2005,14,0.5,0.5,98,0.1517533,0.1263603,0.6608223,0.0610641,0.1136638,0.3155985,0.2043531,0.3663845
Illinois,2006,26,1,1,98,0.1639651,0.1234414,0.65399,0.0586035,0.1209476,0.282419,0.2369077,0.3597257
Illinois,2007,29,1.1,1.1,98,0.1904169,0.123211,0.6235221,0.06285,0.1182327,0.2993155,0.2215308,0.360921
Illinois,2008,29,1.1,1.1,98,0.1595238,0.1202381,0.6535714,0.0666667,0.1154762,0.2767857,0.235119,0.372619
Illinois,2009,31,1.2,1.2,98,0.1700807,0.1204221,0.6356301,0.0738672,0.1204221,0.2836747,0.2420857,0.3538175
Illinois,2010,27,1,1,98,0.1572963,0.1244472,0.6462413,0.0720152,0.0998105,0.2905875,0.2204675,0.3891346
Illinois,2011,41,1.6,1.6,98,0.1656184,0.1355695,0.6408106,0.0580014,0.1118099,0.2921034,0.2208246,0.3752621
Illinois,2012,31,1.2,1.2,98,0.1725852,0.1292614,0.6285511,0.0696023,0.1178977,0.274858,0.2258523,0.381392
Illinois,2013,24,0.9,0.9,198,0.1749644,0.1216216,0.6372688,0.0661451,0.0945946,0.2588905,0.2254623,0.4210526
Illinois,2014,26,1,1,198,0.1672498,0.1224633,0.6326102,0.0776767,0.083275,0.279916,0.2155353,0.4212736
Illinois,2015,32,1.2,1.3,198,0.1753016,0.0979418,0.6579134,0.0688431,0.0837473,0.259049,0.251242,0.4059617
Illinois,2016,24,0.9,0.9,198,0.1760462,0.1067821,0.6277056,0.0894661,0.0721501,0.2691198,0.2229437,0.4357864
Indiana,2008,14,1.1,1.1,99.5,0.0779661,0.079096,0.8090395,0.0338983,0.140113,0.3276836,0.2361582,0.2960452
Indiana,2009,16,1.2,1.2,99.5,0.0905923,0.0766551,0.8025551,0.0301974,0.1370499,0.3530778,0.2682927,0.2415796
Indiana,2010,13,1,1,99.5,0.0645995,0.0865633,0.8062016,0.0426357,0.1705426,0.3372093,0.2299742,0.2622739
Indiana,2011,34,2.6,2.7,99.5,0.0844156,0.0896104,0.7948052,0.0311688,0.1701299,0.3220779,0.274026,0.2337662
Indiana,2012,25,1.9,2,99.5,0.0745721,0.0892421,0.7885085,0.0476773,0.1577017,0.3129584,0.2652812,0.2640587
Indiana,2013,20,1.5,1.6,99.5,0.0834455,0.0955585,0.781965,0.039031,0.1265141,0.3109018,0.2664872,0.2960969
Indiana,2014,25,1.9,2,99.5,0.0769231,0.0795306,0.809648,0.0338983,0.1212516,0.3246415,0.2698826,0.2842242
Indiana,2015,31,2.4,2.4,99.5,0.0687758,0.0811554,0.8033012,0.0467675,0.1155433,0.3259973,0.2503439,0.3081155
Indiana,2016,33,2.6,2.6,99.5,0.0836601,0.0705882,0.8,0.0457516,0.1267974,0.2901961,0.2562092,0.3267974
Kansas,2008,13,2.3,2.3,79,0.1310541,0.031339,0.7606838,0.0769231,0.1652422,0.3162393,0.2022792,0.3162393
Kansas,2009,13,2.3,2.4,79,0.13382,0.0340633,0.7542579,0.0778589,0.1289538,0.323601,0.2408759,0.3065693
Kansas,2010,11,2,2,79,0.0817942,0.0527704,0.7941952,0.0712401,0.0923483,0.3218997,0.2453826,0.3403694
Kansas,2013,14,2.5,2.6,79,0.0951087,0.0461957,0.7690217,0.0896739,0.0951087,0.2853261,0.263587,0.3559783
Kansas,2016,10,1.8,1.8,,0.1049563,0.0291545,0.7988338,0.0670554,0.0874636,0.2653061,0.2594752,0.3877551
